,Date,Link,Name,Convention
0,2026-02-23,https://mtgtop8.com/event?e=81001&f=ST,Champions Cup Store Qualifier , Machida (Japan)
1,2026-02-22,https://mtgtop8.com/event?e=80950&f=ST,ReCQ #2 , SCG CON Milwaukee
2,2026-02-22,https://mtgtop8.com/event?e=80949&f=ST,RCQ #1 , SCG CON Milwaukee
3,2026-02-21,https://mtgtop8.com/event?e=80908&f=ST,RCQ #2 , SCG CON Milwaukee
4,2026-02-21,https://mtgtop8.com/event?e=80907&f=ST,RCQ #1 , SCG CON Milwaukee
5,2026-02-21,https://mtgtop8.com/event?e=80862&f=ST,Mont RCQ ," Mont CardShop (Campinas, Brazil)"
6,2026-02-21,https://mtgtop8.com/event?e=80828&f=ST,Regional Championship ," F2FTour.com (Vancouver, Canada)"
7,2026-02-21,https://mtgtop8.com/event?e=80827&f=ST,Regional Championship , SCG CON Milwaukee
8,2026-02-21,https://mtgtop8.com/event?e=80826&f=ST,Arena Championship 11 , Wizards of the Coast
9,2026-02-20,https://mtgtop8.com/event?e=80808&f=ST,LCQ #16 , SCG CON Milwaukee
10,2026-02-20,https://mtgtop8.com/event?e=80798&f=ST,LCQ #15 , SCG CON Milwaukee
11,2026-02-20,https://mtgtop8.com/event?e=80799&f=ST,LCQ #13 , SCG CON Milwaukee
12,2026-02-20,https://mtgtop8.com/event?e=80800&f=ST,LCQ #14 , SCG CON Milwaukee
13,2026-02-20,https://mtgtop8.com/event?e=80796&f=ST,LCQ #12 , SCG CON Milwaukee
14,2026-02-20,https://mtgtop8.com/event?e=80805&f=ST,LCQ #11 , SCG CON Milwaukee
15,2026-02-20,https://mtgtop8.com/event?e=80793&f=ST,LCQ #10 , SCG CON Milwaukee
16,2026-02-20,https://mtgtop8.com/event?e=80795&f=ST,LCQ #9 , SCG CON Milwaukee
17,2026-02-20,https://mtgtop8.com/event?e=80801&f=ST,LCQ #8 , SCG CON Milwaukee
18,2026-02-20,https://mtgtop8.com/event?e=80794&f=ST,LCQ #7 , SCG CON Milwaukee
19,2026-02-20,https://mtgtop8.com/event?e=80803&f=ST,LCQ #6 , SCG CON Milwaukee
20,2026-02-20,https://mtgtop8.com/event?e=80797&f=ST,LCQ #5 , SCG CON Milwaukee
21,2026-02-20,https://mtgtop8.com/event?e=80802&f=ST,LCQ #4 , SCG CON Milwaukee
22,2026-02-20,https://mtgtop8.com/event?e=80804&f=ST,LCQ #3 , SCG CON Milwaukee
23,2026-02-20,https://mtgtop8.com/event?e=80806&f=ST,LCQ #2 , SCG CON Milwaukee
24,2026-02-20,https://mtgtop8.com/event?e=80807&f=ST,LCQ #1 , SCG CON Milwaukee
25,2026-02-14,https://mtgtop8.com/event?e=80514&f=ST,South America Regional Championship Santiago 2026 - Devir  , Santiago (Chile)
26,2026-02-08,https://mtgtop8.com/event?e=80087&f=ST,RCQ ," Playtime (Merate, Italy)"
27,2026-02-07,https://mtgtop8.com/event?e=81287&f=ST,RCQ ," Tabletop Gaming Center (Newington, CT)"
28,2026-02-01,https://mtgtop8.com/event?e=79818&f=ST,RCQ ," Draco Hobby Center (Bogota, Colombia)"
