,Name,Type,Rarity,Legendary,Power,Toughness,Ability Count,White,Blue,Black,Red,Green,Colorless
0,Mountain,Land,common,False,,,,0,0,0,1,0,0
1,Rockface Village,Land,uncommon,False,,,,0,0,0,1,0,0
2,Burnout Bashtronaut,Creature,rare,False,1,1,3,0,0,0,1,0,0
3,Greasewrench Goblin,Creature,uncommon,False,2,1,1,0,0,0,1,0,0
4,Hired Claw,Creature,rare,False,1,2,,0,0,0,1,0,0
5,Howlsquad Heavy,Creature,rare,False,2,3,2,0,0,0,1,0,2
6,Kavaron Harrier,Artifact Creature,uncommon,False,2,1,,0,0,0,1,0,0
7,"Kellan, Planar Trailblazer",Creature,rare,True,2,1,,0,0,0,1,0,0
8,"Norin, Swift Survivalist",Creature,uncommon,True,2,1,,0,0,0,1,0,0
9,Nova Hellkite,Creature,rare,False,4,5,3,0,0,0,2,0,3
10,Tersa Lightshatter,Creature,rare,True,3,3,1,0,0,0,1,0,2
11,Burst Lightning,Instant,common,False,,,1,0,0,0,1,0,0
12,Lightning Strike,Instant,common,False,,,,0,0,0,1,0,1
13,Shock,Instant,common,False,,,,0,0,0,1,0,0
14,Ghost Vacuum,Artifact,rare,False,,,,0,0,0,0,0,1
15,Scorching Shot,Sorcery,uncommon,False,,,,0,0,0,2,0,0
16,Sear,Instant,uncommon,False,,,,0,0,0,1,0,1
17,Stingerback Terror,Creature,rare,False,7,7,3,0,0,0,2,0,2
18,Sunspine Lynx,Creature,rare,False,5,4,,0,0,0,2,0,2
19,Thunder Magic,Instant,common,False,,,4,0,0,0,1,0,0
20,Agna Qel'a,Land,rare,False,,,,0,1,0,0,0,0
21,Botanical Sanctum,Land,rare,False,,,,0,1,0,0,1,0
22,Breeding Pool,Land,rare,False,,,,0,1,0,0,1,0
23,Forest,Land,common,False,,,,0,0,0,0,1,0
24,Multiversal Passage,Land,rare,False,,,,0,0,0,0,0,0
25,Willowrush Verge,Land,rare,False,,,,0,1,0,0,1,0
26,Badgermole Cub,Creature,mythic,False,2,2,1,0,0,0,0,1,1
27,Craterhoof Behemoth,Creature,mythic,False,5,5,1,0,0,0,0,3,5
28,Gene Pollinator,Artifact Creature,common,False,1,2,,0,0,0,0,1,0
29,Keen-Eyed Curator,Creature,rare,False,3,3,,0,0,0,0,2,0
30,Llanowar Elves,Creature,common,False,1,1,,0,0,0,0,1,0
31,Mockingbird,Creature,rare,False,1,1,1,0,1,0,0,0,1
32,Ouroboroid,Creature,mythic,False,1,3,,0,0,0,0,2,2
33,Quantum Riddler,Creature,mythic,False,4,6,2,0,2,0,0,0,3
34,Spider Manifestation,Creature,common,False,2,2,1,0,0,0,0,0,1
35,"Surrak, Elusive Hunter",Creature,rare,True,4,3,1,0,0,0,0,1,2
36,Wistfulness,Creature,mythic,False,6,5,1,0,0,0,0,0,3
37,Bushwhack,Sorcery,common,False,,,1,0,0,0,0,1,0
38,Nature's Rhythm,Sorcery,rare,False,,,1,0,0,0,0,2,1
39,Spider-Sense,Instant,rare,False,,,1,0,1,0,0,0,1
40,Stock Up,Sorcery,uncommon,False,,,,0,1,0,0,0,2
41,Disdainful Stroke,Instant,uncommon,False,,,,0,1,0,0,0,1
