,DeckIdx,CardIdx,Count
0,0,0,20
1,0,1,2
2,0,2,4
3,0,3,4
4,0,4,4
5,0,5,4
6,0,6,4
7,0,7,1
8,0,8,1
9,0,9,4
10,0,10,1
11,0,11,4
12,0,12,4
13,0,13,3
14,0,14,2
15,0,15,2
16,0,16,3
17,0,17,2
18,0,18,4
19,0,19,2
20,1,20,1
21,1,21,4
22,1,22,4
23,1,23,6
24,1,24,4
25,1,25,4
26,1,26,4
27,1,27,1
28,1,28,2
29,1,29,1
30,1,30,4
31,1,31,2
32,1,32,4
33,1,33,4
34,1,34,4
35,1,35,1
36,1,36,1
37,1,37,1
38,1,38,4
39,1,39,2
40,1,40,2
41,1,41,2
42,1,42,1
43,1,29,1
44,1,43,2
45,1,44,1
46,1,45,2
47,1,46,1
48,1,35,1
49,1,47,2
50,1,48,2
51,2,49,7
52,2,50,4
53,2,51,4
54,2,52,4
55,2,25,2
56,2,53,4
57,2,54,4
58,2,55,4
59,2,56,1
60,2,11,4
61,2,57,2
62,2,58,4
63,2,59,2
64,2,60,4
65,2,40,4
66,2,61,2
67,2,62,4
68,2,41,1
69,2,63,2
70,2,33,1
71,2,64,2
72,2,16,2
73,2,46,2
74,2,65,2
75,2,66,2
76,2,67,1
77,3,68,1
78,3,21,4
79,3,22,4
80,3,23,6
81,3,24,3
82,3,25,4
83,3,26,4
84,3,27,1
85,3,69,1
86,3,28,4
87,3,30,4
88,3,31,3
89,3,32,4
90,3,33,4
91,3,34,4
92,3,70,1
93,3,38,4
94,3,39,2
95,3,71,2
96,3,72,1
97,3,57,2
98,3,29,2
99,3,73,1
100,3,74,1
101,3,75,1
102,3,39,2
103,3,35,1
104,3,48,4
105,4,76,4
106,4,49,4
107,4,24,4
108,4,77,2
109,4,78,3
110,4,79,4
111,4,80,4
112,4,81,2
113,4,82,4
114,4,83,4
115,4,84,4
116,4,85,4
117,4,47,3
118,4,86,1
119,4,87,1
120,4,88,2
121,4,89,3
122,4,66,2
123,4,90,2
124,4,91,3
125,4,92,3
126,4,41,2
127,4,93,1
128,4,94,2
129,4,14,2
130,4,91,1
131,4,95,1
132,4,89,1
133,4,46,1
134,4,96,1
135,5,21,4
136,5,22,1
137,5,76,4
138,5,49,2
139,5,97,2
140,5,79,2
141,5,98,1
142,5,80,4
143,5,53,4
144,5,55,4
145,5,99,2
146,5,58,4
147,5,100,2
148,5,88,2
149,5,59,3
150,5,60,4
151,5,101,2
152,5,40,3
153,5,102,3
154,5,103,3
155,5,62,4
156,5,104,2
157,5,99,2
158,5,105,2
159,5,88,2
160,5,89,2
161,5,46,3
162,5,66,2
163,6,106,4
164,6,107,4
165,6,50,4
166,6,97,4
167,6,52,1
168,6,79,1
169,6,80,4
170,6,108,4
171,6,109,4
172,6,110,2
173,6,111,2
174,6,112,4
175,6,113,4
176,6,33,4
177,6,10,2
178,6,114,2
179,6,88,2
180,6,115,4
181,6,116,4
182,6,117,1
183,6,41,3
184,6,99,2
185,6,118,2
186,6,119,2
187,6,88,2
188,6,46,2
189,6,96,1
190,7,68,2
191,7,120,4
192,7,121,4
193,7,23,14
194,7,122,2
195,7,26,4
196,7,123,3
197,7,124,4
198,7,30,4
199,7,125,3
200,7,126,3
201,7,127,4
202,7,70,1
203,7,128,4
204,7,129,4
205,7,29,2
206,7,43,3
207,7,126,1
208,7,45,3
209,7,46,2
210,7,35,2
211,7,130,2
212,8,49,8
213,8,0,1
214,8,24,1
215,8,50,4
216,8,51,4
217,8,52,4
218,8,131,1
219,8,33,4
220,8,132,4
221,8,55,4
222,8,11,1
223,8,133,2
224,8,118,1
225,8,57,1
226,8,134,1
227,8,16,1
228,8,135,3
229,8,40,2
230,8,67,3
231,8,136,1
232,8,64,1
233,8,137,3
234,8,46,1
235,8,62,4
236,8,138,1
237,8,92,2
238,8,41,1
239,8,94,2
240,8,136,1
241,8,118,2
242,8,57,2
243,8,95,1
244,8,64,1
245,8,46,1
246,8,139,1
247,9,107,2
248,9,140,1
249,9,141,2
250,9,76,1
251,9,142,1
252,9,143,1
253,9,49,1
254,9,144,1
255,9,145,2
256,9,146,1
257,9,50,1
258,9,147,2
259,9,97,4
260,9,52,3
261,9,148,1
262,9,80,2
263,9,149,3
264,9,150,2
265,9,151,2
266,9,152,3
267,9,153,2
268,9,154,4
269,9,155,3
270,9,156,4
271,9,157,1
272,9,40,4
273,9,158,2
274,9,159,4
275,9,41,1
276,9,160,2
277,9,161,2
278,9,83,1
279,9,94,1
280,9,95,1
281,9,63,2
282,9,162,2
283,9,163,3
284,10,68,3
285,10,120,4
286,10,121,4
287,10,23,13
288,10,122,2
289,10,26,4
290,10,164,1
291,10,124,4
292,10,30,4
293,10,125,4
294,10,127,4
295,10,70,1
296,10,165,2
297,10,128,4
298,10,166,2
299,10,129,4
300,10,70,1
301,10,29,2
302,10,43,4
303,10,126,2
304,10,167,1
305,10,35,1
306,10,130,3
307,10,168,1
308,11,68,4
309,11,120,4
310,11,121,4
311,11,23,13
312,11,26,4
313,11,164,2
314,11,123,2
315,11,124,4
316,11,30,4
317,11,125,3
318,11,127,4
319,11,70,3
320,11,165,1
321,11,128,4
322,11,129,4
323,11,43,3
324,11,126,2
325,11,45,3
326,11,167,3
327,11,46,3
328,11,168,1
329,12,169,3
330,12,170,4
331,12,171,4
332,12,0,3
333,12,24,2
334,12,147,4
335,12,148,4
336,12,172,4
337,12,173,2
338,12,174,4
339,12,175,4
340,12,9,4
341,12,176,4
342,12,177,3
343,12,163,4
344,12,11,3
345,12,154,2
346,12,16,1
347,12,178,1
348,12,138,1
349,12,179,1
350,12,180,2
351,12,181,3
352,12,154,1
353,12,182,2
354,12,162,4
355,12,178,1
356,13,20,2
357,13,49,6
358,13,0,2
359,13,50,4
360,13,51,4
361,13,52,4
362,13,183,4
363,13,184,4
364,13,185,4
365,13,55,4
366,13,186,4
367,13,187,4
368,13,188,2
369,13,189,4
370,13,116,4
371,13,62,4
372,13,92,2
373,13,41,2
374,13,64,1
375,13,16,2
376,13,190,2
377,13,65,2
378,13,66,2
379,13,139,2
380,14,0,20
381,14,78,3
382,14,2,4
383,14,191,4
384,14,4,4
385,14,5,4
386,14,7,1
387,14,9,4
388,14,18,2
389,14,192,3
390,14,11,4
391,14,12,2
392,14,16,2
393,14,13,3
394,14,193,4
395,14,16,2
396,14,13,1
397,14,46,2
398,14,17,1
399,14,18,2
400,14,178,2
401,14,194,1
402,15,169,2
403,15,141,4
404,15,195,3
405,15,143,3
406,15,196,4
407,15,144,6
408,15,197,3
409,15,198,3
410,15,199,4
411,15,200,4
412,15,153,3
413,15,154,4
414,15,157,4
415,15,201,4
416,15,202,2
417,15,161,3
418,15,158,4
419,15,92,2
420,15,203,3
421,15,204,2
422,15,160,2
423,15,162,3
424,15,163,3
425,16,22,2
426,16,169,4
427,16,205,1
428,16,49,1
429,16,206,1
430,16,77,1
431,16,207,4
432,16,51,2
433,16,97,4
434,16,52,3
435,16,80,2
436,16,150,4
437,16,208,4
438,16,209,4
439,16,210,3
440,16,211,4
441,16,212,2
442,16,213,4
443,16,36,4
444,16,214,1
445,16,215,1
446,16,56,2
447,16,39,1
448,16,216,1
449,16,138,2
450,16,94,2
451,16,105,1
452,16,44,2
453,16,63,2
454,16,16,2
455,16,46,2
456,16,66,1
457,16,39,1
458,17,195,1
459,17,76,4
460,17,49,5
461,17,24,1
462,17,77,2
463,17,78,2
464,17,79,5
465,17,80,4
466,17,81,3
467,17,208,4
468,17,82,3
469,17,83,3
470,17,84,4
471,17,42,1
472,17,85,4
473,17,47,2
474,17,114,2
475,17,217,1
476,17,87,1
477,17,88,2
478,17,89,2
479,17,90,1
480,17,91,3
481,17,92,2
482,17,218,1
483,17,41,1
484,17,99,2
485,17,94,1
486,17,14,1
487,17,88,1
488,17,46,1
489,17,66,2
490,17,96,1
491,17,219,1
492,17,220,1
493,18,20,1
494,18,49,6
495,18,0,2
496,18,24,1
497,18,50,4
498,18,51,4
499,18,52,4
500,18,183,4
501,18,184,4
502,18,185,4
503,18,55,3
504,18,186,4
505,18,187,4
506,18,221,1
507,18,188,2
508,18,222,1
509,18,189,4
510,18,116,4
511,18,62,3
512,18,92,2
513,18,41,1
514,18,94,1
515,18,188,1
516,18,33,1
517,18,64,2
518,18,16,2
519,18,190,2
520,18,46,2
521,18,139,1
522,19,205,1
523,19,141,3
524,19,143,4
525,19,49,1
526,19,196,2
527,19,223,1
528,19,144,1
529,19,145,1
530,19,50,3
531,19,147,3
532,19,52,3
533,19,148,3
534,19,224,1
535,19,152,3
536,19,220,1
537,19,200,2
538,19,153,2
539,19,180,1
540,19,154,4
541,19,225,3
542,19,156,4
543,19,134,1
544,19,157,4
545,19,16,1
546,19,66,2
547,19,40,4
548,19,201,1
549,19,138,1
550,19,92,2
551,19,203,1
552,19,226,1
553,19,160,1
554,19,161,1
555,19,227,1
556,19,95,1
557,19,46,2
558,19,228,1
559,19,47,2
560,19,229,1
561,20,106,4
562,20,107,4
563,20,0,4
564,20,24,4
565,20,97,4
566,20,79,3
567,20,108,4
568,20,230,2
569,20,109,4
570,20,110,3
571,20,111,4
572,20,112,4
573,20,113,3
574,20,10,2
575,20,114,2
576,20,115,4
577,20,231,1
578,20,116,4
579,20,231,1
580,20,232,2
581,20,233,2
582,20,88,3
583,20,16,1
584,20,89,2
585,20,46,2
586,20,18,2
587,21,21,4
588,21,22,4
589,21,23,6
590,21,24,3
591,21,97,2
592,21,25,3
593,21,26,4
594,21,27,1
595,21,28,4
596,21,29,3
597,21,30,4
598,21,31,3
599,21,32,3
600,21,33,4
601,21,34,4
602,21,36,2
603,21,70,2
604,21,38,4
605,21,234,1
606,21,41,1
607,21,235,1
608,21,44,1
609,21,236,2
610,21,46,2
611,21,39,2
612,21,35,2
613,21,48,2
614,21,214,1
615,22,76,4
616,22,77,4
617,22,79,11
618,22,98,1
619,22,80,4
620,22,208,4
621,22,237,3
622,22,238,2
623,22,212,4
624,22,139,1
625,22,239,1
626,22,114,3
627,22,240,3
628,22,241,3
629,22,119,2
630,22,88,4
631,22,40,3
632,22,216,3
633,22,242,1
634,22,99,4
635,22,14,2
636,22,238,1
637,22,95,1
638,22,243,1
639,22,244,1
640,22,89,2
641,22,219,1
642,22,139,1
643,23,76,4
644,23,24,2
645,23,77,4
646,23,79,11
647,23,98,1
648,23,80,4
649,23,208,4
650,23,237,3
651,23,238,3
652,23,212,4
653,23,114,3
654,23,242,2
655,23,240,2
656,23,241,2
657,23,119,2
658,23,88,4
659,23,40,3
660,23,216,2
661,23,245,2
662,23,242,1
663,23,218,1
664,23,240,1
665,23,99,4
666,23,33,3
667,23,46,2
668,23,219,1
669,24,68,2
670,24,120,3
671,24,121,4
672,24,23,2
673,24,49,3
674,24,0,3
675,24,97,3
676,24,52,2
677,24,246,2
678,24,25,1
679,24,125,4
680,24,247,1
681,24,47,2
682,24,248,1
683,24,249,2
684,24,11,4
685,24,200,4
686,24,217,1
687,24,250,4
688,24,16,3
689,24,66,3
690,24,39,2
691,24,40,4
692,24,41,2
693,24,217,2
694,24,105,2
695,24,63,2
696,24,251,2
697,24,46,2
698,24,65,1
699,24,139,1
700,24,36,1
701,25,107,2
702,25,141,1
703,25,76,2
704,25,142,1
705,25,143,2
706,25,49,1
707,25,144,1
708,25,145,2
709,25,77,1
710,25,147,2
711,25,97,4
712,25,52,3
713,25,148,2
714,25,131,1
715,25,80,1
716,25,149,3
717,25,150,3
718,25,151,2
719,25,152,3
720,25,153,2
721,25,154,3
722,25,155,3
723,25,156,4
724,25,157,1
725,25,40,4
726,25,96,1
727,25,158,1
728,25,159,4
729,25,172,2
730,25,41,1
731,25,161,1
732,25,83,1
733,25,94,2
734,25,225,1
735,25,63,1
736,25,162,2
737,25,47,1
738,25,163,3
739,26,68,2
740,26,120,3
741,26,121,4
742,26,23,14
743,26,122,3
744,26,26,4
745,26,124,4
746,26,29,1
747,26,30,4
748,26,125,4
749,26,126,2
750,26,247,1
751,26,127,4
752,26,37,1
753,26,252,1
754,26,128,4
755,26,129,4
756,26,29,1
757,26,43,4
758,26,126,2
759,26,167,2
760,26,253,2
761,26,46,1
762,26,130,2
763,26,168,1
764,27,22,2
765,27,23,1
766,27,49,1
767,27,0,1
768,27,24,4
769,27,254,1
770,27,97,4
771,27,255,4
772,27,246,2
773,27,25,2
774,27,26,4
775,27,28,2
776,27,30,4
777,27,9,3
778,27,32,4
779,27,256,4
780,27,34,3
781,27,213,3
782,27,257,3
783,27,258,3
784,27,38,4
785,27,16,2
786,27,29,3
787,27,33,4
788,27,46,2
789,27,39,2
790,27,36,4
791,28,22,4
792,28,169,2
793,28,141,2
794,28,143,3
795,28,259,4
796,28,144,1
797,28,97,4
798,28,260,4
799,28,149,4
800,28,261,4
801,28,262,4
802,28,26,4
803,28,263,4
804,28,264,4
805,28,69,1
806,28,227,1
807,28,30,4
808,28,265,2
809,28,266,4
810,28,267,2
811,28,268,1
812,28,269,2
813,28,270,2
814,28,271,1
815,28,162,3
816,28,158,4
817,29,0,20
818,29,78,3
819,29,2,4
820,29,191,4
821,29,4,4
822,29,5,4
823,29,7,1
824,29,9,4
825,29,18,2
826,29,192,3
827,29,11,4
828,29,12,2
829,29,16,2
830,29,13,3
831,29,14,2
832,29,193,4
833,29,16,2
834,29,13,1
835,29,18,2
836,29,178,2
837,29,194,2
838,30,0,20
839,30,1,2
840,30,78,2
841,30,2,4
842,30,3,1
843,30,191,4
844,30,4,4
845,30,7,1
846,30,9,4
847,30,272,4
848,30,18,3
849,30,11,4
850,30,12,4
851,30,13,3
852,30,273,2
853,30,193,3
854,30,16,3
855,30,46,2
856,30,18,1
857,30,178,1
858,30,194,2
859,30,192,1
860,31,22,3
861,31,169,4
862,31,205,1
863,31,274,2
864,31,49,1
865,31,206,1
866,31,207,3
867,31,51,1
868,31,97,4
869,31,52,4
870,31,131,1
871,31,150,4
872,31,208,4
873,31,209,4
874,31,33,1
875,31,210,4
876,31,211,3
877,31,213,4
878,31,36,4
879,31,56,3
880,31,118,2
881,31,216,2
882,31,269,2
883,31,56,1
884,31,41,2
885,31,14,1
886,31,206,1
887,31,63,2
888,31,16,2
889,31,46,2
890,31,39,1
891,31,211,1
892,32,20,2
893,32,49,6
894,32,0,2
895,32,50,4
896,32,51,4
897,32,52,4
898,32,183,4
899,32,184,4
900,32,185,4
901,32,55,4
902,32,186,4
903,32,187,4
904,32,188,2
905,32,189,4
906,32,116,4
907,32,62,4
908,32,92,2
909,32,249,1
910,32,41,1
911,32,94,1
912,32,221,1
913,32,63,1
914,32,33,1
915,32,64,2
916,32,16,1
917,32,46,1
918,32,65,2
919,32,66,1
920,33,20,2
921,33,49,6
922,33,0,2
923,33,50,4
924,33,51,4
925,33,52,4
926,33,183,4
927,33,184,4
928,33,185,4
929,33,55,4
930,33,186,4
931,33,187,4
932,33,188,2
933,33,189,4
934,33,116,4
935,33,62,4
936,33,92,2
937,33,41,2
938,33,63,2
939,33,16,2
940,33,65,2
941,33,66,2
942,33,222,1
943,33,139,2
944,34,20,1
945,34,49,5
946,34,0,3
947,34,24,1
948,34,50,4
949,34,51,4
950,34,52,4
951,34,183,4
952,34,184,4
953,34,185,4
954,34,55,3
955,34,186,4
956,34,187,4
957,34,188,2
958,34,66,1
959,34,222,1
960,34,189,4
961,34,116,4
962,34,62,3
963,34,92,1
964,34,217,1
965,34,94,2
966,34,63,1
967,34,64,2
968,34,16,2
969,34,190,1
