,Rank,Player,Name,Price,Link,TournamentIdx
0,1,Kageyama Hiroki,Red Deck Wins,96.0,https://mtgtop8.com/event?e=81001&d=815761&f=ST,0
1,2,Yoshiharu Shinozawa,Simic Aggro,1105.0,https://mtgtop8.com/event?e=81001&d=815762&f=ST,0
2,3,Tsuyuki Kouichi,Izzet Prowess,496.0,https://mtgtop8.com/event?e=81001&d=815764&f=ST,0
3,4,Kiyota Takeshi,Simic Nature's Rhythm,1113.0,https://mtgtop8.com/event?e=81001&d=815763&f=ST,0
4,5,Oka Yosuke,Dimir Aggro,457.0,https://mtgtop8.com/event?e=81001&d=815767&f=ST,0
5,6,Matsuhashi Shota,Dimir Aggro,338.0,https://mtgtop8.com/event?e=81001&d=815768&f=ST,0
6,7,Sugimoto Takashi,Grixis Aggro,868.0,https://mtgtop8.com/event?e=81001&d=815765&f=ST,0
7,8,Yuichiro Oga,Mono Green Landfall,641.0,https://mtgtop8.com/event?e=81001&d=815766&f=ST,0
8,1,Tyggz,Izzet Prowess,772.0,https://mtgtop8.com/event?e=80950&d=815434&f=ST,1
9,2,Marcelineorion,4/5C Control,706.0,https://mtgtop8.com/event?e=80950&d=815435&f=ST,1
10,3,Matt Engelbart,Mono Green Landfall,682.0,https://mtgtop8.com/event?e=80950&d=815436&f=ST,1
11,4,Carl Cantrell,Mono Green Landfall,711.0,https://mtgtop8.com/event?e=80950&d=815437&f=ST,1
12,5,Harper Wilson,Boros Dragons,685.0,https://mtgtop8.com/event?e=80950&d=815438&f=ST,1
13,6,Scottie Taylor,Izzet Lesson,644.0,https://mtgtop8.com/event?e=80950&d=815441&f=ST,1
14,7,Jake Slupecki,Red Deck Wins,230.0,https://mtgtop8.com/event?e=80950&d=815440&f=ST,1
15,8,Nathan Johnson,UW Control,750.0,https://mtgtop8.com/event?e=80950&d=815439&f=ST,1
16,9,Jonathan Lacker,4c Elementals,864.0,https://mtgtop8.com/event?e=80950&d=815442&f=ST,1
17,10,Michael Buckley,Dimir Aggro,398.0,https://mtgtop8.com/event?e=80950&d=815446&f=ST,1
18,11,Andrew Tao,Izzet Lesson,645.0,https://mtgtop8.com/event?e=80950&d=815445&f=ST,1
19,12,Matthewzekas,Jeskai Control,595.0,https://mtgtop8.com/event?e=80950&d=815443&f=ST,1
20,13,Skylar Liekhus,Rakdos Monument,486.0,https://mtgtop8.com/event?e=80950&d=815449&f=ST,1
21,14,Kevin Caruso,Simic Nature's Rhythm,1077.0,https://mtgtop8.com/event?e=80950&d=815444&f=ST,1
22,15,Ramennoodlerz,Superior Doomsday ,617.0,https://mtgtop8.com/event?e=80950&d=815447&f=ST,1
23,16,Jonathan Rubin,Superior Doomsday ,629.0,https://mtgtop8.com/event?e=80950&d=815448&f=ST,1
24,1,Jeffrey Kruchkow,Temur Full Bore Harmonizer,387.0,https://mtgtop8.com/event?e=80949&d=815402&f=ST,2
25,2,Flesheatingnome,4/5C Control,660.0,https://mtgtop8.com/event?e=80949&d=815403&f=ST,2
26,3,Drewjhowells,Mono Green Landfall,631.0,https://mtgtop8.com/event?e=80949&d=815405&f=ST,2
27,4,Kenoa06,Temur Aggro,1171.0,https://mtgtop8.com/event?e=80949&d=815404&f=ST,2
28,5,Alexander Lim,Bant Airbending,875.0,https://mtgtop8.com/event?e=80949&d=815408&f=ST,2
29,6,Kaleb Weir,Red Deck Wins,235.0,https://mtgtop8.com/event?e=80949&d=815406&f=ST,2
30,7,Will Broer,Red Deck Wins,224.0,https://mtgtop8.com/event?e=80949&d=815407&f=ST,2
31,8,Sweetpotato,Roaming Elementals,1002.0,https://mtgtop8.com/event?e=80949&d=815409&f=ST,2
32,9,Pieter Tubergen,Izzet Lesson,529.0,https://mtgtop8.com/event?e=80949&d=815410&f=ST,2
33,10,Josh Glantzman,Izzet Lesson,633.0,https://mtgtop8.com/event?e=80949&d=815411&f=ST,2
34,11,Raymond Kao,Izzet Lesson,594.0,https://mtgtop8.com/event?e=80949&d=815412&f=ST,2
35,12,Jake Coenen,Izzet Lesson,604.0,https://mtgtop8.com/event?e=80949&d=815413&f=ST,2
36,13,Alex Gimmi,Izzet Lesson,713.0,https://mtgtop8.com/event?e=80949&d=815415&f=ST,2
37,14,Josh Good,Izzet Prowess,477.0,https://mtgtop8.com/event?e=80949&d=815414&f=ST,2
38,15,Henryknuth,Roaming Elementals,897.0,https://mtgtop8.com/event?e=80949&d=815416&f=ST,2
39,16,Tess Boswell,Temur Full Bore Harmonizer,476.0,https://mtgtop8.com/event?e=80949&d=815417&f=ST,2
40,17,Dannym,Azorius Aggro,649.0,https://mtgtop8.com/event?e=80949&d=815425&f=ST,2
41,18,Charlesfish,Azorius Aggro,606.0,https://mtgtop8.com/event?e=80949&d=815428&f=ST,2
42,19,Samzin,Dimir Aggro,704.0,https://mtgtop8.com/event?e=80949&d=815422&f=ST,2
43,20,Gerrick Alford,Izzet Lesson,531.0,https://mtgtop8.com/event?e=80949&d=815427&f=ST,2
44,21,Maverick Finn,Izzet Lesson,573.0,https://mtgtop8.com/event?e=80949&d=815429&f=ST,2
45,22,Violet,Izzet Lesson,582.0,https://mtgtop8.com/event?e=80949&d=815431&f=ST,2
46,23,Brian Feria,Mono Green Aggro,629.0,https://mtgtop8.com/event?e=80949&d=815424&f=ST,2
47,24,Caz Rodriguez,Mono Green Landfall,663.0,https://mtgtop8.com/event?e=80949&d=815419&f=ST,2
48,25,Randompurple06,Red Deck Wins,229.0,https://mtgtop8.com/event?e=80949&d=815433&f=ST,2
49,26,Dan Schriever,Simic Aggro,690.0,https://mtgtop8.com/event?e=80949&d=815418&f=ST,2
50,27,Chiefd420,Simic Nature's Rhythm,1081.0,https://mtgtop8.com/event?e=80949&d=815426&f=ST,2
51,28,Joseph Gearlds,Superior Doomsday ,740.0,https://mtgtop8.com/event?e=80949&d=815420&f=ST,2
52,29,Ramonphyrexianpr,Superior Reanimator,971.0,https://mtgtop8.com/event?e=80949&d=815423&f=ST,2
53,30,Matthew Takahashi,Temur Full Bore Harmonizer,436.0,https://mtgtop8.com/event?e=80949&d=815430&f=ST,2
54,31,Benjamin Taylor,Temur Full Bore Harmonizer,426.0,https://mtgtop8.com/event?e=80949&d=815432&f=ST,2
55,32,Nazar Tash,UW Control,621.0,https://mtgtop8.com/event?e=80949&d=815421&f=ST,2
56,1,Duhchosennoodle,Dimir Control,613.0,https://mtgtop8.com/event?e=80908&d=815073&f=ST,3
57,2,Jackson Kirkland,Roaming Elementals,1046.0,https://mtgtop8.com/event?e=80908&d=815074&f=ST,3
58,3,Michael Martin,4/5C Control,614.0,https://mtgtop8.com/event?e=80908&d=815076&f=ST,3
59,4,Marcras,Mono Green Aggro,570.0,https://mtgtop8.com/event?e=80908&d=815075&f=ST,3
60,5,Mirra Berglund,Azorius Aggro,753.0,https://mtgtop8.com/event?e=80908&d=815080&f=ST,3
61,6,Mark Samuelson,Bant Airbending,801.0,https://mtgtop8.com/event?e=80908&d=815078&f=ST,3
62,7,Ryan Young,Jund Aggro Resonance,472.0,https://mtgtop8.com/event?e=80908&d=815079&f=ST,3
63,8,Sweetpotato,Roaming Elementals,924.0,https://mtgtop8.com/event?e=80908&d=815077&f=ST,3
64,1,Jatuh,Izzet Spellementals,344.0,https://mtgtop8.com/event?e=80907&d=815057&f=ST,4
65,2,Andrew Tenjum,Mono Green Landfall,626.0,https://mtgtop8.com/event?e=80907&d=815058&f=ST,4
66,3,Steven Williams,Izzet Spellementals,317.0,https://mtgtop8.com/event?e=80907&d=815060&f=ST,4
67,4,Neil Mcisaac,Mono Green Landfall,634.0,https://mtgtop8.com/event?e=80907&d=815059&f=ST,4
68,5,Jeff Schultz,Dimir Aggro,448.0,https://mtgtop8.com/event?e=80907&d=815062&f=ST,4
69,6,Violet,Izzet Lesson,582.0,https://mtgtop8.com/event?e=80907&d=815061&f=ST,4
70,7,Conner Hursh,Simic Nature's Rhythm,1075.0,https://mtgtop8.com/event?e=80907&d=815064&f=ST,4
71,8,Spencer Warburton,Temur Full Bore Harmonizer,444.0,https://mtgtop8.com/event?e=80907&d=815063&f=ST,4
72,9,Jaffer,Dimir Aggro,652.0,https://mtgtop8.com/event?e=80907&d=815068&f=ST,4
73,10,Michael Rodriguez,Dimir Control,528.0,https://mtgtop8.com/event?e=80907&d=815070&f=ST,4
74,11,Rikzilla,Gruul Landfall,362.0,https://mtgtop8.com/event?e=80907&d=815065&f=ST,4
75,12,Sam Feeley,Izzet Lesson,464.0,https://mtgtop8.com/event?e=80907&d=815066&f=ST,4
76,13,Russell Wilson,Izzet Lesson,576.0,https://mtgtop8.com/event?e=80907&d=815069&f=ST,4
77,14,Lcloonen,Selesnya Aggro,403.0,https://mtgtop8.com/event?e=80907&d=815072&f=ST,4
