,Date,Link,Name,Convention
0,2026-03-21,https://mtgtop8.com/event?e=82346&f=ST,RCQ ," Victory Comics (Falls Church, VA)"
1,2026-03-21,https://mtgtop8.com/event?e=82342&f=ST,RCQ + 1K ," Mont CardShop (Campinas, Brazil)"
2,2026-03-21,https://mtgtop8.com/event?e=82214&f=ST,1k RCQ ," Through the Decades (Louisville, KY)"
3,2026-03-19,https://mtgtop8.com/event?e=82205&f=ST,The 33rd God of Standard Tournament ," TC (Tokyo, Japan)"
4,2026-03-15,https://mtgtop8.com/event?e=82012&f=ST,Thailand Open - MTG SEA Championships - Oracle Events , Bangkok (Thailand)
5,2026-03-15,https://mtgtop8.com/event?e=82011&f=ST,RCQ , El Nucli (Spain)
6,2026-03-14,https://mtgtop8.com/event?e=82260&f=ST,MTG China Open S11 - Regional Championship , Changsha (China)
7,2026-03-14,https://mtgtop8.com/event?e=81988&f=ST,Team Trios Showdown ," NRG Games (Elmhurst, IL)"
8,2026-03-14,https://mtgtop8.com/event?e=81972&f=ST,MTG SEA Championship Final 2025-26 - Oracle Events , Bangkok (Thailand)
9,2026-03-14,https://mtgtop8.com/event?e=81806&f=ST,RCQ ," Magic Corporation (Paris, France)"
10,2026-03-13,https://mtgtop8.com/event?e=81886&f=ST,Champions Cup Final Season 4 Round 2 ," BIG MAGIC (Osaka, Japan)"
11,2026-03-13,https://mtgtop8.com/event?e=81884&f=ST,ANZ Super Series - Regional Championship , Sydney (Australia)
12,2026-03-11,https://mtgtop8.com/event?e=81901&f=ST,Champions Cup - Last Chance Trial ," TC (Osaka, Japan)"
13,2026-03-08,https://mtgtop8.com/event?e=82427&f=ST,Ultimate Guard Open ," Lingotto Fiera (Turin, Italy)"
14,2026-03-08,https://mtgtop8.com/event?e=81900&f=ST,Champions Cup Last Chance Trial ," TC (Osaka, Japan)"
15,2026-03-08,https://mtgtop8.com/event?e=81682&f=ST,RCQ 9:30am , SCG CON Richmond
16,2026-03-08,https://mtgtop8.com/event?e=81659&f=ST,MIT Championship - Regional Championship , GameSquare (Taiwan)
17,2026-03-07,https://mtgtop8.com/event?e=81609&f=ST,CAMS Regional Championship ," Necrotower gamecenter (Maxico, Mexico)"
18,2026-03-07,https://mtgtop8.com/event?e=81571&f=ST,ReCQ 4:00pm , SCG CON Richmond
19,2026-03-07,https://mtgtop8.com/event?e=81572&f=ST,Regional Championship - RC Turin 2026 , Turin (Italy)
20,2026-03-07,https://mtgtop8.com/event?e=81570&f=ST,Magic Spotlight: Teenage Mutant Ninja Turtles , SCG CON Richmond
21,2026-03-06,https://mtgtop8.com/event?e=81569&f=ST,Emperor of Standard Tournament 26th Season ," TC (Osaka, Japan)"
22,2026-03-06,https://mtgtop8.com/event?e=81534&f=ST,ReCQ 4:00pm , SCG CON Richmond
23,2026-03-06,https://mtgtop8.com/event?e=81533&f=ST,ReCQ 2:00pm , SCG CON Richmond
24,2026-03-06,https://mtgtop8.com/event?e=81532&f=ST,ReCQ 12:00pm , SCG CON Richmond
