,Name,Type,Rarity,Legendary,Power,Toughness,Ability Count,White,Blue,Black,Red,Green,Colorless
0,Breeding Pool,Land,rare,False,,,,0,1,0,0,1,0
1,Island,Land,common,False,,,,0,1,0,0,0,0
2,Mountain,Land,common,False,,,,0,0,0,1,0,0
3,Multiversal Passage,Land,rare,False,,,,0,0,0,0,0,0
4,Riverpyre Verge,Land,rare,False,,,,0,1,0,1,0,0
5,Spirebluff Canal,Land,rare,False,,,,0,1,0,1,0,0
6,Steam Vents,Land,rare,False,,,,0,1,0,1,0,0
7,Steam Vents,Land,rare,False,,,,0,1,0,1,0,0
8,Willowrush Verge,Land,rare,False,,,,0,1,0,0,1,0
9,Eddymurk Crab,Creature,uncommon,False,5,5,1,0,2,0,0,0,5
10,Elusive Otter,Creature,rare,False,1,1,1,0,1,0,0,0,0
11,Slickshot Show-Off,Creature,rare,False,1,2,3,0,0,0,1,0,1
12,Boomerang Basics,Sorcery,uncommon,False,,,,0,1,0,0,0,0
13,Burst Lightning,Instant,common,False,,,1,0,0,0,1,0,0
14,Into the Flood Maw,Instant,uncommon,False,,,1,0,1,0,0,0,0
15,Opt,Instant,common,False,,,1,0,1,0,0,0,0
16,Secret Identity,Instant,uncommon,False,,,,0,1,0,0,0,0
17,Sleight of Hand,Sorcery,common,False,,,,0,1,0,0,0,0
18,Stock Up,Sorcery,uncommon,False,,,,0,1,0,0,0,2
19,Wild Ride,Sorcery,common,False,,,1,0,0,0,1,0,0
20,Stormchaser's Talent,Enchantment,rare,False,,,,0,1,0,0,0,0
21,Annul,Instant,uncommon,False,,,,0,1,0,0,0,0
22,Broadside Barrage,Instant,uncommon,False,,,,0,1,0,1,0,1
23,Drake Hatcher,Creature,rare,False,1,3,2,0,1,0,0,0,1
24,Fire Magic,Instant,uncommon,False,,,4,0,0,0,1,0,0
25,Ghost Vacuum,Artifact,rare,False,,,,0,0,0,0,0,1
26,"Ral, Crackling Wit",Planeswalker,mythic,True,,,,0,1,0,1,0,2
27,Sear,Instant,uncommon,False,,,,0,0,0,1,0,1
28,Soul-Guide Lantern,Artifact,uncommon,False,,,,0,0,0,0,0,1
29,Spell Pierce,Instant,uncommon,False,,,,0,1,0,0,0,0
30,Abandoned Air Temple,Land,rare,False,,,,1,0,0,0,0,0
31,Floodfarm Verge,Land,rare,False,,,,1,1,0,0,0,0
32,Hallowed Fountain,Land,rare,False,,,,1,1,0,0,0,0
33,Hallowed Fountain,Land,rare,False,,,,1,1,0,0,0,0
34,Plains,Land,common,False,,,,1,0,0,0,0,0
35,Restless Anchorage,Land,rare,False,,,,1,1,0,0,0,0
36,Starting Town,Land,rare,False,,,,0,0,0,0,0,0
37,"Aang, Swift Savior",Creature,rare,True,2,3,7,1,1,0,0,0,1
38,Aven Interrupter,Creature,rare,False,2,2,3,2,0,0,0,0,1
39,Enduring Curiosity,Enchantment Creature,rare,False,4,3,1,0,2,0,0,0,2
40,Floodpits Drowner,Creature,uncommon,False,2,1,2,0,1,0,0,0,1
41,Voice of Victory,Creature,rare,False,1,3,1,1,0,0,0,0,1
42,"Wan Shi Tong, Librarian",Creature,mythic,True,1,1,3,0,2,0,0,0,1
43,Avatar's Wrath,Sorcery,rare,False,,,1,2,0,0,0,0,2
44,Get Lost,Instant,rare,False,,,1,1,0,0,0,0,1
45,No More Lies,Instant,uncommon,False,,,,1,1,0,0,0,0
46,Spell Snare,Instant,uncommon,False,,,,0,1,0,0,0,0
47,"Ajani, Outland Chaperone",Planeswalker,mythic,True,,,,2,0,0,0,0,1
48,"Elspeth, Storm Slayer",Planeswalker,mythic,True,,,,2,0,0,0,0,3
49,High Noon,Enchantment,rare,False,,,,1,0,0,0,0,1
50,Seam Rip,Enchantment,uncommon,False,,,,1,0,0,0,0,0
51,Clarion Conqueror,Creature,rare,False,3,3,1,1,0,0,0,0,2
52,Clarion Conqueror,Creature,rare,False,3,3,1,1,0,0,0,0,2
53,Disdainful Stroke,Instant,uncommon,False,,,,0,1,0,0,0,1
54,Glen Elendra Guardian,Creature,rare,False,3,4,2,0,1,0,0,0,2
55,Requisition Raid,Sorcery,uncommon,False,,,1,1,0,0,0,0,0
56,Rest in Peace,Enchantment,mythic,False,,,,1,0,0,0,0,1
57,Three Steps Ahead,Instant,rare,False,,,1,0,1,0,0,0,0
58,Tishana's Tidebinder,Creature,rare,False,3,2,1,0,1,0,0,0,2
59,Gloomlake Verge,Land,rare,False,,,,0,1,1,0,0,0
60,Mistrise Village,Land,rare,False,,,,0,1,0,0,0,0
61,Overgrown Tomb,Land,rare,False,,,,0,0,1,0,1,0
62,Overgrown Tomb,Land,rare,False,,,,0,0,1,0,1,0
63,Restless Cottage,Land,rare,False,,,1,0,0,1,0,1,0
64,Restless Reef,Land,rare,False,,,1,0,1,1,0,0,0
65,Swamp,Land,common,False,,,,0,0,1,0,0,0
66,Undercity Sewers,Land,rare,False,,,1,0,1,1,0,0,0
67,Watery Grave,Land,rare,False,,,,0,1,1,0,0,0
68,Deceit,Creature,mythic,False,5,5,1,0,0,0,0,0,4
69,Marang River Regent,Creature,rare,False,6,7,1,0,2,0,0,0,4
70,Marang River Regent,Creature,rare,False,6,7,1,0,2,0,0,0,4
71,Superior Spider-Man,Creature,rare,True,4,4,,0,1,1,0,0,2
72,Wistfulness,Creature,mythic,False,6,5,1,0,0,0,0,0,3
73,Bitter Triumph,Instant,uncommon,False,,,,0,0,1,0,0,1
74,Cease / Desist,Instant,uncommon,False,,,1,0,0,1,0,1,1
75,Consult the Star Charts,Instant,rare,False,,,1,0,1,0,0,0,1
76,Day of Black Sun,Sorcery,rare,False,,,,0,0,2,0,0,1
77,Deadly Cover-Up,Sorcery,rare,False,,,1,0,0,2,0,0,3
78,Essence Scatter,Instant,uncommon,False,,,,0,1,0,0,0,1
79,Pawpatch Formation,Instant,uncommon,False,,,1,0,0,0,0,1,1
80,Rakshasa's Bargain,Instant,uncommon,False,,,,0,0,0,0,0,2
81,Requiting Hex,Instant,uncommon,False,,,1,0,0,1,0,0,0
82,Shoot the Sheriff,Instant,uncommon,False,,,,0,0,1,0,0,1
83,Strategic Betrayal,Sorcery,uncommon,False,,,,0,0,1,0,0,1
84,Urgent Necropsy,Instant,mythic,False,,,,0,0,1,0,1,2
85,Awaken the Honored Dead,Enchantment,rare,False,,,1,0,1,1,0,1,0
86,Flashfreeze,Instant,uncommon,False,,,,0,1,0,0,0,1
87,Harvester of Misery,Creature,mythic,False,5,4,1,0,0,2,0,0,3
88,Negate,Instant,common,False,,,,0,1,0,0,0,1
89,Oildeep Gearhulk,Artifact Creature,mythic,False,4,4,2,0,2,2,0,0,0
90,Qarsi Revenant,Creature,rare,False,3,3,4,0,0,2,0,0,1
91,Quantum Riddler,Creature,mythic,False,4,6,2,0,2,0,0,0,3
92,Zero Point Ballad,Sorcery,rare,False,,,,0,0,1,0,0,1
93,Bounce Off,Instant,common,False,,,,0,1,0,0,0,0
94,Roaring Furnace / Steaming Sauna,Enchantment,rare,False,,,1,0,0,0,1,0,1
95,Get Out,Instant,uncommon,False,,,,0,2,0,0,0,0
96,The Legend of Kuruk,Enchantment,mythic,False,,,4,0,2,0,0,0,2
97,Demolition Field,Land,uncommon,False,,,,0,0,0,0,0,0
98,Fountainport,Land,rare,False,,,1,0,0,0,0,0,0
99,Meticulous Archive,Land,rare,False,,,1,1,1,0,0,0,0
100,Day of Judgment,Sorcery,rare,False,,,,2,0,0,0,0,2
101,Ultima,Sorcery,rare,False,,,,2,0,0,0,0,3
102,"Beza, the Bounding Spring",Creature,mythic,True,4,5,1,2,0,0,0,0,2
103,The Unagi of Kyoshi Island,Creature,rare,True,5,5,3,0,2,0,0,0,3
104,Torpor Orb,Artifact,mythic,False,,,,0,0,0,0,0,2
105,Soulstone Sanctuary,Land,rare,False,,,,0,0,0,0,0,0
106,Azure Beastbinder,Creature,rare,False,1,3,1,0,1,0,0,0,1
107,"Cecil, Dark Knight",Creature,rare,True,2,3,5,0,0,1,0,0,0
108,Deep-Cavern Bat,Creature,uncommon,False,1,1,2,0,0,1,0,0,1
109,Preacher of the Schism,Creature,rare,False,2,4,1,0,0,1,0,0,2
