,DeckIdx,CardIdx,Count
0,0,0,1
1,0,1,4
2,0,2,1
3,0,3,2
4,0,4,4
5,0,5,4
6,0,6,4
7,0,7,1
8,0,8,2
9,0,9,4
10,0,10,4
11,0,11,4
12,0,12,4
13,0,13,2
14,0,14,4
15,0,15,2
16,0,16,4
17,0,17,4
18,0,18,1
19,0,19,4
20,0,20,1
21,0,21,1
22,0,22,2
23,0,8,1
24,0,23,1
25,0,24,1
26,0,25,2
27,0,26,2
28,0,27,2
29,0,28,2
30,1,29,2
31,1,30,4
32,1,31,4
33,1,1,3
34,1,3,2
35,1,32,5
36,1,33,1
37,1,34,4
38,1,35,4
39,1,36,4
40,1,37,2
41,1,38,4
42,1,39,4
43,1,40,1
44,1,41,2
45,1,42,1
46,1,43,2
47,1,44,1
48,1,45,2
49,1,46,1
50,1,47,4
51,1,48,3
52,1,45,1
53,1,41,2
54,1,49,2
55,1,50,1
56,1,51,1
57,1,52,1
58,1,53,1
59,1,48,1
60,1,27,2
61,1,54,1
62,1,55,2
63,2,0,2
64,2,56,4
65,2,57,1
66,2,58,4
67,2,59,2
68,2,60,1
69,2,61,1
70,2,62,2
71,2,63,4
72,2,7,4
73,2,64,4
74,2,65,1
75,2,66,2
76,2,40,1
77,2,67,1
78,2,68,1
79,2,69,1
80,2,70,3
81,2,71,1
82,2,72,3
83,2,73,1
84,2,74,1
85,2,75,4
86,2,76,3
87,2,77,2
88,2,44,2
89,2,78,1
90,2,79,1
91,2,80,2
92,2,20,1
93,2,50,1
94,2,81,2
95,2,82,1
96,2,83,1
97,2,84,2
98,2,85,2
99,2,86,1
100,2,76,1
101,2,78,1
102,2,40,1
103,2,87,1
104,3,1,6
105,3,3,2
106,3,4,4
107,3,5,4
108,3,6,4
109,3,7,1
110,3,8,2
111,3,9,4
112,3,10,4
113,3,11,4
114,3,88,2
115,3,12,4
116,3,14,4
117,3,15,1
118,3,16,4
119,3,17,4
120,3,18,1
121,3,89,1
122,3,19,4
123,3,88,1
124,3,21,2
125,3,8,1
126,3,23,1
127,3,90,1
128,3,25,2
129,3,26,2
130,3,27,2
131,3,28,2
132,3,91,1
133,4,92,3
134,4,30,4
135,4,93,2
136,4,1,5
137,4,94,4
138,4,32,5
139,4,33,3
140,4,55,2
141,4,40,1
142,4,70,4
143,4,95,3
144,4,42,4
145,4,43,4
146,4,44,3
147,4,17,3
148,4,54,3
149,4,96,2
150,4,46,2
151,4,48,4
152,4,20,2
153,4,97,2
154,4,73,1
155,4,81,1
156,4,83,1
157,4,53,2
158,4,98,1
159,4,99,2
160,4,39,3
161,5,56,4
162,5,1,4
163,5,3,3
164,5,60,2
165,5,100,3
166,5,34,1
167,5,61,3
168,5,63,4
169,5,101,3
170,5,102,2
171,5,103,3
172,5,37,2
173,5,38,4
174,5,104,2
175,5,105,1
176,5,106,4
177,5,55,2
178,5,68,2
179,5,76,3
180,5,77,3
181,5,44,1
182,5,107,4
183,5,20,2
184,5,71,2
185,5,50,2
186,5,108,1
187,5,76,1
188,5,77,1
189,5,27,2
190,5,44,1
191,5,78,1
192,5,109,1
193,5,55,1
194,6,110,3
195,6,111,3
196,6,112,4
197,6,113,14
198,6,114,3
199,6,115,4
200,6,116,4
201,6,117,1
202,6,118,4
203,6,119,3
204,6,120,2
205,6,121,4
206,6,122,1
207,6,123,2
208,6,124,4
209,6,125,4
210,6,126,1
211,6,117,1
212,6,127,4
213,6,120,2
214,6,74,2
215,6,27,2
216,6,128,1
217,6,99,2
218,7,0,4
219,7,129,2
220,7,30,3
221,7,31,3
222,7,130,4
223,7,32,1
224,7,34,3
225,7,131,4
226,7,35,4
227,7,132,3
228,7,133,4
229,7,115,3
230,7,134,3
231,7,135,1
232,7,136,4
233,7,137,1
234,7,138,1
235,7,118,4
236,7,139,2
237,7,140,3
238,7,141,2
