,Rank,Player,Name,Price,Link,TournamentIdx
0,1,Chloe Philip,Izzet Prowess,425.0,https://mtgtop8.com/event?e=82346&d=825866&f=ST,0
1,2,Benjamin Meyer,Azorius Aggro,613.0,https://mtgtop8.com/event?e=82346&d=825867&f=ST,0
2,3,Tjiang,Sultai Control,651.0,https://mtgtop8.com/event?e=82346&d=825868&f=ST,0
3,1,Alexandre Machado,Izzet Prowess,407.0,https://mtgtop8.com/event?e=82342&d=825839&f=ST,1
4,2,Alfredo Obregón,UW Control,586.0,https://mtgtop8.com/event?e=82342&d=825840&f=ST,1
5,3,Xandre_borges_,Dimir Aggro,409.0,https://mtgtop8.com/event?e=82342&d=825842&f=ST,1
6,4,Diablozzpunk,Mono Green Landfall,599.0,https://mtgtop8.com/event?e=82342&d=825841&f=ST,1
7,5,Digopin,Bant Airbending,719.0,https://mtgtop8.com/event?e=82342&d=825844&f=ST,1
8,6,Power9,Mono Green Landfall,607.0,https://mtgtop8.com/event?e=82342&d=825845&f=ST,1
9,7,Mukuam,Orzhov Control,502.0,https://mtgtop8.com/event?e=82342&d=825846&f=ST,1
10,8,Hondamanssur,Temur Battlecrier,934.0,https://mtgtop8.com/event?e=82342&d=825843&f=ST,1
11,1,J.d. Emerick,Rakdos Aggro,430.0,https://mtgtop8.com/event?e=82214&d=824812&f=ST,2
12,2,Thomas Graves,Spellementals,271.0,https://mtgtop8.com/event?e=82214&d=824813&f=ST,2
13,3,Stephen Francis,Boros Aggro,514.0,https://mtgtop8.com/event?e=82214&d=824815&f=ST,2
14,4,Matt Sims,Spellementals,299.0,https://mtgtop8.com/event?e=82214&d=824814&f=ST,2
15,5,Ruochen Tang,Azorius Otters - Firdoch Core Combo,364.0,https://mtgtop8.com/event?e=82214&d=824819&f=ST,2
16,6,Hannah Scott,Izzet Prowess,404.0,https://mtgtop8.com/event?e=82214&d=824818&f=ST,2
17,7,Tracy Loeffler,Monogreen,569.0,https://mtgtop8.com/event?e=82214&d=824817&f=ST,2
18,8,Trey Tyson,Spellementals,287.0,https://mtgtop8.com/event?e=82214&d=824816&f=ST,2
19,1,Uros Pol,Izzet Lesson,397.0,https://mtgtop8.com/event?e=82205&d=824729&f=ST,3
20,2,Houda Ruki,Izzet Prowess,431.0,https://mtgtop8.com/event?e=82205&d=824730&f=ST,3
21,3,Ito Keita,Izzet Prowess,528.0,https://mtgtop8.com/event?e=82205&d=824731&f=ST,3
22,4,Hasegawa Takuya,Izzet Prowess,414.0,https://mtgtop8.com/event?e=82205&d=824732&f=ST,3
23,5,Hosokawa Yuya,Izzet Lesson,693.0,https://mtgtop8.com/event?e=82205&d=824734&f=ST,3
24,6,Ozawa Naoya,Izzet Prowess,470.0,https://mtgtop8.com/event?e=82205&d=824733&f=ST,3
25,7,Tase Yuya,Weenie White ,278.0,https://mtgtop8.com/event?e=82205&d=824735&f=ST,3
26,8,Terasawa Kazuya,Izzet Prowess,467.0,https://mtgtop8.com/event?e=82205&d=824736&f=ST,3
27,9,Holmqvist Andreas,Izzet Prowess,451.0,https://mtgtop8.com/event?e=82205&d=824738&f=ST,3
28,10,Morimoto Yutaro,Izzet Spellementals,514.0,https://mtgtop8.com/event?e=82205&d=824741&f=ST,3
29,11,Yamada Takuya,Jeskai Control,697.0,https://mtgtop8.com/event?e=82205&d=824739&f=ST,3
30,12,Uemura Akira,Mono Green Landfall,618.0,https://mtgtop8.com/event?e=82205&d=824737&f=ST,3
31,13,Hagiwara Noriyuki,Mono Green Landfall,612.0,https://mtgtop8.com/event?e=82205&d=824743&f=ST,3
32,14,Yokokawa Yuta,Selesnya Aggro,409.0,https://mtgtop8.com/event?e=82205&d=824742&f=ST,3
33,15,Hara Koki,Simic Nature's Rhythm,957.0,https://mtgtop8.com/event?e=82205&d=824740&f=ST,3
34,1,Ilya Kharin,Mono Green Landfall,591.0,https://mtgtop8.com/event?e=82012&d=823315&f=ST,4
35,2,Jonathan Holmes,Boros Aggro,695.0,https://mtgtop8.com/event?e=82012&d=823318&f=ST,4
36,3,Artyom Arepin,Izzet Prowess,402.0,https://mtgtop8.com/event?e=82012&d=823316&f=ST,4
37,4,Ninpangz21,Izzet Spellementals,295.0,https://mtgtop8.com/event?e=82012&d=823319&f=ST,4
38,5,Christian Wijaya,Mono Green Landfall,612.0,https://mtgtop8.com/event?e=82012&d=823317&f=ST,4
39,6,Darrekheng,Dimir Aggro,396.0,https://mtgtop8.com/event?e=82012&d=823324&f=ST,4
40,7,Andrea Mengucci,Izzet Prowess,395.0,https://mtgtop8.com/event?e=82012&d=823323&f=ST,4
41,8,Alexey Shashov,Izzet Prowess,400.0,https://mtgtop8.com/event?e=82012&d=823325&f=ST,4
42,9,Jaeseok Cho,Izzet Spellementals,379.0,https://mtgtop8.com/event?e=82012&d=823322&f=ST,4
43,10,Weng Heng Soh,Mono Green Landfall,571.0,https://mtgtop8.com/event?e=82012&d=823321&f=ST,4
44,1,Igor Calvet,Weenie White ,281.0,https://mtgtop8.com/event?e=82011&d=823307&f=ST,5
45,2,"Sergi Herrero, Sr.",Izzet Lesson,540.0,https://mtgtop8.com/event?e=82011&d=823308&f=ST,5
46,3,Fernando Peńalba Solís,Mono Green Aggro,623.0,https://mtgtop8.com/event?e=82011&d=823310&f=ST,5
47,4,Marcel Homar,Temur Full Bore Harmonizer,442.0,https://mtgtop8.com/event?e=82011&d=823309&f=ST,5
48,5,Leonardo Canalejo,Boros Aggro,663.0,https://mtgtop8.com/event?e=82011&d=823311&f=ST,5
